종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"044480","경남바이오파마","KOSDAQ","관리종목(소속부없음)","2820","40","1.44","2775","2850","2675","228276","632293835","56760412920","20127806"
"039240","경남스틸","KOSDAQ","우량기업부","2650","-20","-0.75","2605","2665","2595","512431","1345586860","66250000000","25000000"
"053950","경남제약","KOSDAQ","중견기업부","7230","0","0.00","7220","7280","7100","50105","360925390","126109759410","17442567"
"223310","경남제약헬스케어","KOSDAQ","관리종목(소속부없음)","3320","0","0.00","0","0","0","0","0","37836250520","11396461"
"002100","경농","KOSPI",,"14150","0","0.00","13900","14300","13850","101392","1428676150","306938262500","21691750"
"009450","경동나비엔","KOSPI",,"51300","-100","-0.19","50800","51700","50600","53822","2759194700","697922649000","13604730"
"267290","경동도시가스","KOSPI",,"19100","0","0.00","18950","19200","18950","17258","329569450","112602254600","5895406"
"012320","경동인베스트","KOSPI",,"36000","-50","-0.14","35750","36000","35050","4282","151798600","85140828000","2365023"
"011040","경동제약","KOSDAQ","우량기업부","9920","-10","-0.10","9920","9930","9790","37730","372364140","305226158720","30768766"
"000050","경방","KOSPI",,"13000","-50","-0.38","12950","13050","12900","23274","301820200","356398510000","27415270"
"214390","경보제약","KOSPI",,"12350","-550","-4.26","12750","12800","12250","861197","10757025400","295249721000","23906860"
"012610","경인양행","KOSPI",,"6920","-10","-0.14","6870","7030","6840","191696","1330101020","285840045800","41306365"
"009140","경인전자","KOSPI",,"28300","-250","-0.88","28500","28550","28200","1839","52139300","44453555100","1570797"
"024910","경창산업","KOSDAQ","중견기업부","2970","-10","-0.34","2995","2995","2945","75454","223555650","106382444850","35819005"
"013580","계룡건설","KOSPI",,"31100","50","0.16","31050","31300","30450","40619","1259885900","277751207700","8930907"
"012200","계양전기","KOSPI",,"4490","40","0.90","4425","4530","4375","171653","766065255","146374000000","32600000"
"012205","계양전기우","KOSPI",,"6980","10","0.14","7000","7000","6940","2204","15345690","9772000000","1400000"
"002140","고려산업","KOSPI",,"4190","140","3.46","4060","4220","4005","327608","1360731170","104496190750","24939425"
"198440","고려시멘트","KOSDAQ","우량기업부","3420","-15","-0.44","3385","3430","3360","281184","957285295","109371463200","31979960"
"049720","고려신용정보","KOSDAQ","중견기업부","6300","60","0.96","6230","6340","6230","61142","385133300","90090000000","14300000"
"010130","고려아연","KOSPI",,"402000","-9500","-2.31","406000","407000","402000","66675","26920303000","7585740000000","18870000"
"002240","고려제강","KOSPI",,"16850","-300","-1.75","16850","17150","16800","50079","848188500","387550000000","23000000"
"014570","고려제약","KOSDAQ","중견기업부","11700","600","5.41","11000","11750","10800","267493","3078085050","128700000000","11000000"
"348150","고바이오랩","KOSDAQ","기술성장기업부","35550","350","0.99","34550","36250","34300","130569","4604760200","559895222700","15749514"
"098460","고영","KOSDAQ","우량기업부","113500","-5000","-4.22","116100","117000","113500","54413","6213166300","1558462938500","13730951"
"038530","골드퍼시픽","KOSDAQ","중견기업부","1295","0","0.00","1280","1310","1260","695070","896443200","90020619640","69513992"
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)","410","-3","-0.73","412","418","398","5937341","2420921703","65099800000","158780000"
"215000","골프존","KOSDAQ","중견기업부","80000","4700","6.24","75100","81400","74000","149683","11714718600","502033200000","6275415"
"121440","골프존뉴딘홀딩스","KOSDAQ","중견기업부","6890","0","0.00","6870","6940","6770","175233","1201392120","295145676020","42836818"
"183410","골프존데카","KONEX","일반기업부","1575","170","12.10","1405","1590","1405","53","75160","6475078575","4111161"
